,Name,Season,Age,Pitches,Batted_Balls,Barrels,Barrel%,Barrel/PA,Exit_Velocity,Max_EV,Launch_Angle,Sweet_Spot%,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
0,AJ Pollock,2022,34,1837,395,37,9.4,7.0,88.8,110.8,11.6,32.9,.258,.419,.297,.317,.364,42.0,18.6,6.1
1,Aaron Hicks,2022,32,2017,278,16,5.8,3.5,87.9,109.6,14.8,25.2,.218,.336,.292,.303,.334,33.1,24.1,13.7
2,Aaron Judge,2022,30,2906,400,106,26.5,15.2,95.9,118.4,15.0,39.0,.305,.706,.458,.463,.611,61.8,25.1,15.9
3,Abraham Toro,2022,25,1340,263,18,6.8,5.1,87.0,108.2,16.7,31.2,.226,.372,.246,.284,.318,29.7,18.5,6.3
4,Adalberto Mondesi,2022,26,215,30,1,3.3,1.9,88.0,105.7,7.8,16.7,.166,.231,.166,.211,.288,26.7,37.0,7.4
5,Adam Duvall,2022,33,1220,188,24,12.8,7.6,88.3,110.1,23.4,36.2,.209,.395,.295,.293,.396,41.0,32.1,6.7
6,Adam Engel,2022,30,992,169,3,1.8,1.2,87.9,111.2,15.0,30.8,.219,.287,.256,.246,.320,33.1,29.2,4.2
7,Adam Frazier,2022,30,2191,478,7,1.5,1.2,85.1,105.1,13.6,37.7,.262,.339,.274,.297,.302,24.5,12.1,7.6
8,Adam Haseley,2022,26,92,15,0,0.0,0.0,84.0,100.7,-14.7,13.3,.219,.254,.270,.266,.309,33.3,28.0,12.0
9,Adley Rutschman,2022,24,2009,315,25,7.9,5.3,87.9,110.9,15.6,35.6,.248,.411,.354,.342,.359,36.8,18.3,13.8
10,Adolis Garcia,2022,29,2537,428,55,12.9,8.4,92.1,113.0,13.2,36.9,.244,.447,.324,.322,.422,47.4,27.9,6.1
11,Akil Baddoo,2022,23,916,137,5,3.6,2.2,85.0,108.5,14.2,29.9,.192,.270,.256,.253,.295,27.0,28.4,10.7
12,Albert Almora,2022,28,846,171,3,1.8,1.3,84.0,108.6,6.7,29.8,.233,.307,.279,.270,.299,25.4,19.6,7.2
13,Albert Pujols,2022,42,1385,258,31,12.0,8.8,91.2,111.7,16.4,34.5,.262,.499,.380,.365,.395,47.3,15.7,8.0
14,Alcides Escobar,2022,35,510,92,1,1.1,0.8,81.8,108.1,15.7,39.1,.210,.264,.242,.233,.278,17.4,24.4,3.8
15,Alec Bohm,2022,25,2301,486,33,6.8,5.2,90.2,110.8,10.4,37.7,.290,.436,.310,.333,.383,43.0,17.4,4.9
16,Alec Burleson,2022,23,190,39,4,10.3,7.5,91.7,109.2,4.0,35.9,.251,.419,.245,.325,.354,48.7,17.0,9.4
17,Aledmys Diaz,2022,31,1178,254,16,6.3,4.9,86.6,112.0,12.4,30.3,.261,.396,.301,.308,.343,36.8,16.2,5.5
18,Alejandro Kirk,2022,23,2200,416,28,6.7,5.2,90.5,110.1,8.1,32.0,.278,.431,.347,.351,.347,45.4,10.7,11.6
19,Alejo Lopez,2022,26,571,124,1,0.8,0.6,83.8,105.1,9.3,37.9,.249,.329,.286,.280,.295,20.2,13.5,5.8
20,Alek Thomas,2022,22,1483,312,12,3.8,2.9,87.4,111.3,2.6,27.9,.238,.335,.272,.277,.310,34.6,18.0,5.4
21,Alex Bregman,2022,28,2521,481,35,7.3,5.3,88.9,109.2,19.5,36.2,.257,.416,.358,.350,.337,37.8,11.7,13.3
22,Alex Call,2022,27,570,84,1,1.2,0.8,86.3,108.8,18.4,29.8,.212,.294,.332,.281,.299,31.0,22.9,11.5
23,Alex Kirilloff,2022,24,614,110,7,6.4,4.5,89.3,108.8,6.1,28.2,.232,.369,.286,.282,.340,45.5,23.1,3.2
24,Alex Verdugo,2022,26,2490,513,31,6.0,4.8,89.1,111.0,8.4,37.8,.278,.428,.319,.329,.353,38.2,13.4,6.5
25,Alfonso Rivas,2022,25,1208,167,7,4.2,2.4,86.9,108.0,4.9,34.7,.219,.308,.285,.281,.349,35.3,30.3,10.1
